Brand,Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R/W (Up to, in MB/s)",Categories,Notes (*),Product Page,Product Page 2,Affiliate Link
ADATA,SX6000 Pro/S5,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Micron,TLC,64,2100/1500,Entry-Level NVMe,S5 heatsink,ADATA SX6000 Pro,ADATA XPG GAMMIX S5,
ADATA,SX7000,x4 PCIe 3.0/NVMe,M.2,128GB-512GB,SMI SM2260,"Dual R5, 8x4",Yes,No,,TLC,,1800/850,Entry-Level NVMe,SX8000 is SM2260 + MLC,ADATA SX7000,,
ADATA,SX8100/S7,x4 PCIe 3.0/NVMe,M.2,512GB-4TB,Realtek RTS5762,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64/96,3500/3000,Mid-Range NVMe,Small DRAM; Samsung 64L; QLC at 4TB,ADATA SX8100,ADATA GAMMIX S7,
ADATA,SX8200/S11,x4 PCIe 3.0/NVMe,M.2,240GB-960GB,SMI SM2262,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3200/1700,Mid-Range NVMe,,ADATA SX8200,ADATA S11,
ADATA,SX8200 Pro/S11 Pro,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3500/3000,Mid-Range NVMe,S11 Heatsink,ADATA SX8200 Pro,ADATA XPG GAMMIX S11 Pro,https://amzn.to/43jY6hw
ADATA,SX8800,x4 PCIe 3.0/NVMe,M.2,512GB-1TB,Realtek RTS5762,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64/96,3500/2700,Mid-Range NVMe,Single-sided,ADATA SX8800,,
ADATA,XPG Indigo,x4 PCIe 4.0/NVMe,M.2,Up to 4TB,SMI SM2264,"QC (12nm R8), 8-ch, 8-CE/ch",Yes,No,,,,7000/6000,,,,,
ADATA,XPG Pearl,x4 PCIe 4.0/NVMe,M.2,Up to 4TB,SMI SM2267,"DC (28nm R5), 4-ch, 8-CE/ch",Yes,No,,,,4000/3000,,,,,
ADATA,XPG Sage,x4 PCIe 4.0/NVMe,M.2,Up to 4TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,No,,,96,7000/6100,High-End NVMe,,,,
Addlink,A90,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,176,5000/4400,Mid-Range NVMe,,Addlink A90,,
Addlink,A90 Lite,x4 PCIe 4.0/NVMe,M.2,512GB-4TB,,,No,Yes,,,,5000/4200,Mid-Range NVMe,,Addlink A90 Lite,,
Addlink,A92,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Micron,QLC,96,4900/3600,Mid-Range NVMe,,Addlink A92,,
Addlink,A93,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Maxio MAP1602,"R5, 4x8",,,,,,7400/6500,,,Addlink A93,,https://amzn.to/3sFx5YY
Addlink,A95,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7400/7000,High-End NVMe,,Addlink A95,,https://amzn.to/48xm0K7
Addlink,G55,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E31T,,No,Yes,Kioxia,TLC,218,"10,300/9000",,,Addlink G55,,
Addlink,P200,USB 3.2 Gen 2x1,USB-C,512GB-2TB,,,,,,,,1050/1000,,Portable,Addlink P20,,https://amzn.to/47IU1px
Addlink,S20,SATA/AHCI,"2.5""",256GB-1TB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64,530/500,Mid-Range SATA,May have S11 (Entry-Level SATA),Addlink S20,,https://amzn.to/43mpX0g
Addlink,S20M,SATA/AHCI,"2.5""",256GB-1TB,Maxio MAS080X,"Single-core, 4x8",No,N/A,,TLC,96,550/500,Entry-Level SATA,,,,
Addlink,S22,SATA/AHCI,"2.5""",512GB-2TB,Phison S11T,"Single-core, 2-ch, 8-CE/ch",No,N/A,Intel,QLC,64,550/500,Entry-Level SATA,,Addlink S22,,
Addlink,S68,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Micron,TLC,96,2500/2100,Entry-Level NVMe,5-yr,Addlink S68,,
Addlink,S70,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400/3000,Mid-Range NVMe,,Addlink S70,,https://amzn.to/3YPOrNj
Addlink,S90,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe,,Addlink S90,,
Addlink,S90 Lite,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,176,5000/4500,Mid-Range NVMe,,Addlink S90 Lite,,https://amzn.to/402cVEy
Addlink,S91,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,176,5000/3200,Mid-Range NVMe,2230; 2TB - QLC,Addlink S91,,https://amzn.to/3n2iEMi
Addlink,S92,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,QLC,96,4900/3600,Mid-Range NVMe,,Addlink S92,,
Addlink,S93,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Maxio MAP1602,"R5, 4x8",,,,,,7400/6500,,,Addlink S93,,https://amzn.to/3WflE6W
Addlink,S95,x4 PCIe 4.0/NVMe,M.2,1TB-8TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,96,7100/6800,High-End NVMe,176L eventually,Addlink S95,,https://amzn.to/3PVInS6
Addlink,X70,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400/2500,Mid-Range NVMe,Heatsink + RGB,Addlink X70,,
Apacer,AS2280F4,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,12400/11500,High-End NVMe,,,,
Apacer,AS2280F5,x4 PCIe 5.0/NVMe,M.2,,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,13000/12000,High-End NVMe,,,,
Apacer,AS2280P2,x2 PCIe 3.0/NVMe,M.2,120GB-480GB,Phison E8T,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64,1580/950,Entry-Level NVMe,Obsolete,Apacer AS2280P2,,
Apacer,AS2280P2 Pro,x2 PCIe 3.0/NVMe,M.2,120GB-480GB,Phison E8T,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64,1580/950,Entry-Level NVMe,Obsolete,Apacer AS2280P2,,
Apacer,AS2280P4U,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,,TLC,,3500/3000,Mid-Range NVMe,"Controller varies: E15T, IG5216",Apacer AS2280p$u,,
Apacer,AS2280P4U Pro,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,,TLC,,3500/3000,Mid-Range NVMe,,Apacer AS2280P4U Pro,,
Apacer,AS2280Q4,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,,TLC,,5000/4400,Mid-Range NVMe,,Apacer AS2280Q4,,
Apacer,AS2280Q4U,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7400/7000,High-End NVMe,,Apacer AS2280Q4U,,
Apacer,AS340,SATA/AHCI,"2.5""",120GB-960GB,,,,,,TLC,,550/520,Entry-Level SATA,DRAM-less likely,Apacer AS340,,
Apacer,AS340X,SATA/AHCI,"2.5""",120GB-960GB,,,,,,,,550/520,,,Apacer AS340X,,
Apacer,AS350X,SATA/AHCI,"2.5""",120GB-1TB,,,,,,,,560/540,,,Apacer AS350,,
Apacer,AS350X,SATA/AHCI,"2.5""",128GB-1TB,,,,,,,,560/540,,,Apacer AS350X,,
Asgard,AN1/AN2,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2000/1600,Entry-Level NVMe,AN1: heatsink,Asgard AN2,,
Asgard,AN3,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3300/3000,Mid-Range NVMe,,Asgard AN3,,
Asgard,AN3+,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,Starblaze STAR1000P,"Quad-core, 8-ch, 4-CE/ch",Yes,No,Intel,TLC,64+,3500/3000,Mid-Range NVMe,,Asgard AN3+,,
Asgard,AN4,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,N/A,YMTC,TLC,128,7500/5500,High-End NVMe,Variable controller + 128L YMTC TLC,,,
Asura,Genesis Xtreme,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3500/3000,Mid-Range NVMe,"RGB + Heatsink, 7-yr",Asura Genesis Xtreme,,
ASUS,Strix SQ7,x4 PCIe 4.0/NVMe,M.2,1TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7000/6000,High-End NVMe,,ASUS Strix SQ7,,
Biostar,M700,x4 PCIe 3.0/NVMe,M.2,256GB-512GB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2000/1600,Entry-Level NVMe,,Biostar M700,,
Biostar,M800,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Maxio MAP1602,"R5, x58",,,,,,5000/4450,Mid-Range NVMe,,Biostar M800,,
Biostar,P500,USB 3.2 Gen 2x1,USB-C,512GB-1TB,,,,,,,,1000/900,Entry-Level NVMe,Portable,Biostar P500,,
Biostar,S160,SATA/AHCI,"2.5""",256GB-512GB,,,,,,TLC,,550/510,,,Biostar S160,,
Biwin,NV7400,x4 PCIe 4.0/NVMe,M.2,512GB-4TB,Maxio MAP1602,,No,Yes,YMTC,TLC,232,7400/6500,,,,,
Biwin,X570,,,,,,No,Yes,,,,,,,,,
Biwin,X570 PRO,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,SMI SM2508,,Yes,N/A,YMTC,TLC,232,14000/13000,High-End NVMe,,,,
Buffalo,SSD-PSMU3,USB 3.2 Gen 1x1,USB-C,120GB-960GB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64,430/430,Mid-Range SATA,Portable,Buffalo SSD-PSMU3,,
CalDigit,Tuff Nano Plus,USB 3.2 Gen 2x1,USB-C,512GB-2TB,,,,,,,,1055,,2TB = Tuff nano Plus,CalDigit Tuff Nano,,https://amzn.to/40QWqMF
CFD Gaming,PG5NFZ,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,10000/9500,High-End NVMe,,CFD Gaming PG5NZ,,
Colorful,CN600,x4 PCIe 3.0/NVMe,M.2,128GB-512GB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2000/1600,Entry-Level NVMe,Alt: Maxio MAP1202 + YMTC,Colorful CN600,,
Colorful,CN600 Pro,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Maxio MAP1202,"Dual R5, 4x4",No,Yes,,TLC,,3400/3100,Mid-Range NVMe,,,,
Colorful,CN700,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Maxio MAP1602,"Dual R5, 4x4",No,Yes,YMTC,TLC,128,5000/4500,Mid-Range NVMe,,Colorful CN700,,
Colorful,SL500,SATA/AHCI,"2.5""",240GB-2TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Intel,TLC,32,500+/400+,Entry-Level SATA,,Colorful SL500,,
Corsair,EX100U,USB 3.2 Gen 2x2,USB-C,512GB-4TB,Phison U18,"Single-CPU, 2-ch, 8-CE/ch",No,No,Kioxia,TLC,112,1600/1500,Entry-Level NVMe,Portable,Corsair EX100U,,
Corsair,MP300,x2 PCIe 3.0/NVMe,M.2,120GB-960GB,Phison E8,"Dual-core, 4-ch, 8-CE/ch",Yes,No,Kioxia,TLC,64,1600/1080,Entry-Level NVMe,,Corsair MP300,,
Corsair,MP400,x4 PCIe 3.0/NVMe,M.2,1TB-8TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Intel,QLC,96,3400/3000,Mid-Range NVMe,,Corsair MP400,,
Corsair,MP510,x4 PCIe 3.0/NVMe,M.2,240GB-4TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3480/3000,Mid-Range NVMe,,Corsair MP510,,
Corsair,MP600,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,4950/4250,Mid-Range NVMe,Heatsink,Corsair MP600,,
Corsair,MP600 CORE,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Micron,QLC,96,4950/3950,Mid-Range NVMe,,Corsair MP600 CORE,,
Corsair,MP600 CORE MINI,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,QLC,176,,Entry-Level NVMe,2230,Corsair MP600 CORE Mini,,https://amzn.to/47pYpdt
Corsair,MP600 Core XT,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,QLC,176,5000/4400,Entry-Level NVMe,,Corsair MP600 Core XT,,https://amzn.to/3pWBJQV
Corsair,MP600 Elite,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E27T,"Single R5 + CoX, 4-CH, 4-CE/ch",No,Yes,Kioxia,TLC,162,7000/6500,,"PS5, non-heatink versions available",Corsair MP600 Elite,,https://amzn.to/3w1IZy4
Corsair,MP600 GS,x4 PCIe 4.0/NVMe,M.2,500GB-1TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,176,4800/3900,Entry-Level NVMe,2TB: QLC possible,Corsair MP600 GS,,https://amzn.to/3JsbCbV
